channel,hour,transactions,fraud_cases,fraud_rate_pct
CASH_OUT,0,11997,150,1.2503
CASH_OUT,1,3898,180,4.6178
CASH_OUT,2,1256,186,14.8089
CASH_OUT,3,432,163,37.7315
CASH_OUT,4,277,137,49.4585
CASH_OUT,5,373,183,49.0617
CASH_OUT,6,517,179,34.6228
CASH_OUT,7,1494,164,10.9772
CASH_OUT,8,7659,184,2.4024
CASH_OUT,9,94825,170,0.1793
CASH_OUT,10,150982,188,0.1245
CASH_OUT,11,160847,162,0.1007
CASH_OUT,12,177388,171,0.0964
CASH_OUT,13,173719,174,0.1002
CASH_OUT,14,161573,178,0.1102
CASH_OUT,15,151804,172,0.1133
CASH_OUT,16,161643,173,0.107
CASH_OUT,17,165915,177,0.1067
CASH_OUT,18,224115,173,0.0772
CASH_OUT,19,249488,171,0.0685
CASH_OUT,20,196356,170,0.0866
CASH_OUT,21,70400,174,0.2472
CASH_OUT,22,44374,176,0.3966
CASH_OUT,23,26168,161,0.6153
TRANSFER,0,6217,150,2.4127
TRANSFER,1,2107,178,8.448
TRANSFER,2,666,186,27.9279
TRANSFER,3,348,163,46.8391
TRANSFER,4,235,137,58.2979
TRANSFER,5,259,183,70.6564
TRANSFER,6,387,179,46.2532
TRANSFER,7,1048,164,15.6489
TRANSFER,8,2643,184,6.9618
TRANSFER,9,25203,171,0.6785
TRANSFER,10,36042,187,0.5188
TRANSFER,11,37393,162,0.4332
TRANSFER,12,41173,168,0.408
TRANSFER,13,40187,172,0.428
TRANSFER,14,37789,175,0.4631
TRANSFER,15,36332,169,0.4652
TRANSFER,16,39263,172,0.4381
TRANSFER,17,36891,176,0.4771
TRANSFER,18,46566,170,0.3651
TRANSFER,19,50445,171,0.339
TRANSFER,20,42533,170,0.3997
TRANSFER,21,20526,173,0.8428
TRANSFER,22,16790,175,1.0423
TRANSFER,23,11866,162,1.3652
