hour,transactions,fraud_cases,fraud_rate_pct
0,71587,300,0.4191
1,27111,358,1.3205
2,9018,372,4.1251
3,2007,326,16.2431
4,1241,274,22.079
5,1641,366,22.3035
6,3420,358,10.4678
7,8988,328,3.6493
8,26915,368,1.3673
9,283518,341,0.1203
10,425729,375,0.0881
11,445992,324,0.0726
12,483418,339,0.0701
13,468474,346,0.0739
14,439653,353,0.0803
15,416686,341,0.0818
16,441612,345,0.0781
17,439941,353,0.0802
18,580509,343,0.0591
19,647814,342,0.0528
20,553728,340,0.0614
21,247806,347,0.14
22,194555,351,0.1804
23,141257,323,0.2287
